,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
51,2.0,0.159,"man, woman, time, be, get, help, year, good, need, friend","[u'familiar', u'beloved', u'npr', u'program', u'car', u'talk', u'put', u'together', u'podcast', u'offering', u'call', u'show', u'woman', u'call', u'report', u'sexual', u'assault', u'discuss', u'air', u'next']"
52,2.0,0.1592,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'murder', u'abuser', u'alive', u'tweet']"
53,2.0,0.1734,"man, woman, time, be, get, help, year, good, need, friend","[u'hopefully', u'change', u'time']"
54,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'believe', u'story', u'disrespect', u'denigrate', u'twice']"
55,2.0,0.158,"man, woman, time, be, get, help, year, good, need, friend","[u'hotel', u'accuse', u'prostitute', u'make', u'feel', u'almost', u'violate']"
56,2.0,0.1604,"man, woman, time, be, get, help, year, good, need, friend","[u'years_ago', u'rap', u'room', u'hotel', u'employee', u'prestigious', u'camino', u'real', u'hotel', u'mexico', u'city']"
57,2.0,0.1624,"man, woman, time, be, get, help, year, good, need, friend","[u'child', u'year', u'marry']"
58,2.0,0.1618,"man, woman, time, be, get, help, year, good, need, friend","[u'teach', u'child', u'respect', u'woman', u'girl', u'alot', u'suffer']"
59,2.0,0.1629,"man, woman, time, be, get, help, year, good, need, friend","[u'man', u'respond']"
60,2.0,0.1615,"man, woman, time, be, get, help, year, good, need, friend","[u'perfectly', u'say', u'man', u'sadly', u'woman']"
61,2.0,0.163,"man, woman, time, be, get, help, year, good, need, friend","[u'even', u'fall', u'today', u'tomorrow', u'battle', u'yet', u'fight']"
62,2.0,0.1657,"man, woman, time, be, get, help, year, good, need, friend","[u'warrior', u'fight', u'war', u'odd']"
63,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'tell', u'tell', u'everyday', u'never', u'apologize', u'state', u'mental', u'health']"
64,2.0,0.1605,"man, woman, time, be, get, help, year, good, need, friend","[u'ashamed', u'warrior', u'fight', u'silent', u'battle', u'everyday']"
65,2.0,0.1618,"man, woman, time, be, get, help, year, good, need, friend","[u'sexual', u'harassment', u'violence', u'unacceptable', u'pic']"
66,2.0,0.1613,"man, woman, time, be, get, help, year, good, need, friend","[u'really', u'talk', u'glad', u'society', u'talk', u'finally']"
67,2.0,0.1599,"man, woman, time, be, get, help, year, good, need, friend","[u'be', u'little', u'bit', u'late', u'join', u'conversation']"
68,2.0,0.1605,"man, woman, time, be, get, help, year, good, need, friend","[u'could', u'move', u'social', u'campaign', u'social', u'change']"
69,2.0,0.1605,"man, woman, time, be, get, help, year, good, need, friend","[u'wordcloud', u'tweetspic']"
70,2.0,0.1581,"man, woman, time, be, get, help, year, good, need, friend","[u'social_media', u'flood', u'personal', u'story', u'assault']"
71,2.0,0.1593,"man, woman, time, be, get, help, year, good, need, friend","[u'late', u'unmesh', u'brahme', u'daily', u'thank']"
72,2.0,0.1593,"man, woman, time, be, get, help, year, good, need, friend","[u'late', u'unmesh', u'brahme', u'daily', u'thank']"
73,2.0,0.1588,"man, woman, time, be, get, help, year, good, need, friend","[u'want', u'say', u'quite']"
74,2.0,0.1599,"man, woman, time, be, get, help, year, good, need, friend","[u'watch', u'actual', u'human', u'make', u'active', u'decision', u'support', u'man', u'rap', u'tweet', u'morally', u'outrage', u'sexual', u'violence', u'that', u's', u'vogue', u'need', u'go', u'rein']"
75,2.0,0.1577,"man, woman, time, be, get, help, year, good, need, friend","[u'comforting', u'thing', u'sexual', u'harassman', u'story', u'drop', u'think', u'unnamed', u'abuser', u'wait', u'terror', u'see', u'name', u'drop', u'next', u'maybe', u'experience', u'fear', u'cause', u'abuse']"
76,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'well', u'aged', u'well']"
77,2.0,0.1577,"man, woman, time, be, get, help, year, good, need, friend","[u'check', u'typical', u'form', u'angry', u'rape', u'blog']"
78,2.0,0.1604,"man, woman, time, be, get, help, year, good, need, friend","[u'creo', u'piropo', u'creo', u'respeto']"
79,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'remember', u'die']"
80,2.0,0.1576,"man, woman, time, be, get, help, year, good, need, friend","[u'silence', u'number', u'powerful', u'community', u'lot', u'damage']"
81,2.0,0.1609,"man, woman, time, be, get, help, year, good, need, friend","[u'action', u'consequenc', u'louis', u'movie', u'release', u'halt', u'follow', u'misconduct', u'allegation']"
82,2.0,0.1577,"man, woman, time, be, get, help, year, good, need, friend","[u'shout', u'void', u'majority', u'believe', u'speak', u'sexual', u'harassment', u'make', u'difference']"
83,2.0,0.1586,"man, woman, time, be, get, help, year, good, need, friend","[u'happy', u'part', u'discussion']"
84,2.0,0.1757,"man, woman, time, be, get, help, year, good, need, friend","[u'challenge', u'join', u'support', u'underserved', u'woman', u'help', u'fight', u'copy', u'friend', u'post']"
85,2.0,0.162,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'part', u'movement', u'time']"
86,2.0,0.163,"man, woman, time, be, get, help, year, good, need, friend","[u'need', u'wait', u'right', u'wing', u'conspiracy', u'woman', u'get', u'brave']"
87,2.0,0.1576,"man, woman, time, be, get, help, year, good, need, friend","[u'look', u'forward', u'give', u'thought', u'tomorrow', u'live']"
88,2.0,0.1583,"man, woman, time, be, get, help, year, good, need, friend","[u'stop', u'everything', u'make', u'sure']"
89,2.0,0.1583,"man, woman, time, be, get, help, year, good, need, friend","[u'great', u'conversation', u'sharing', u'story']"
90,2.0,0.1588,"man, woman, time, be, get, help, year, good, need, friend","[u'honor', u'dedicate', u'song', u'movement', u'part']"
91,2.0,0.1624,"man, woman, time, be, get, help, year, good, need, friend","[u'movement', u'begin', u'spread', u'word', u'proceed', u'fund']"
92,2.0,0.1606,"man, woman, time, be, get, help, year, good, need, friend","[u'delight', u'go', u'today', u'et', u'tune', u'great', u'show']"
93,2.0,0.1582,"man, woman, time, be, get, help, year, good, need, friend","[u'amazing', u'party', u'tonight', u'together']"
94,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'wait', u'discuss']"
95,2.0,0.177,"man, woman, time, be, get, help, year, good, need, friend","[u'need', u'man', u'fight', u'forever', u'grateful']"
96,2.0,0.1724,"man, woman, time, be, get, help, year, good, need, friend","[u'be', u'fight', u'never', u'say']"
97,2.0,0.1763,"man, woman, time, be, get, help, year, good, need, friend","[u'finally', u'available', u'favorite', u'bookstore', u'get', u'girl', u'say', u'ever', u'pic']"
98,2.0,0.1753,"man, woman, time, be, get, help, year, good, need, friend","[u'wonderful', u'launch', u'today', u'thank', u'change', u'come', u'pic']"
99,2.0,0.1713,"man, woman, time, be, get, help, year, good, need, friend","[u'compassion', u'support', u'need', u'man', u'fight']"
100,2.0,0.163,"man, woman, time, be, get, help, year, good, need, friend","[u'end', u'together', u'man', u'woman']"
101,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'look', u'forward']"
102,2.0,0.1719,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'need', u'man', u'fight']"
103,2.0,0.1652,"man, woman, time, be, get, help, year, good, need, friend","[u'kick', u'launch', u'tour', u'tomorrow', u'amet', u'thank']"
104,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'look']"
105,2.0,0.1581,"man, woman, time, be, get, help, year, good, need, friend","[u'day', u'leave', u'pre', u'order', u'new', u'book', u'spread', u'word', u'tag', u'post', u'thank', u'much']"
106,2.0,0.1589,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'woman', u'bravely', u'come', u'forward', u'story']"
107,2.0,0.1649,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'today', u'movement']"
108,2.0,0.1619,"man, woman, time, be, get, help, year, good, need, friend","[u'day', u'launch', u'check', u'bonus', u'chapter', u'real', u'peek']"
109,2.0,0.1634,"man, woman, time, be, get, help, year, good, need, friend","[u'enlighten', u'soul']"
110,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'people', u'creep']"
111,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'join', u'movement']"
112,2.0,0.1605,"man, woman, time, be, get, help, year, good, need, friend","[u'imagine', u'everyone', u'ever', u'sexually_harass', u'tell', u'story', u'revolution', u'let', u'together']"
113,2.0,0.1582,"man, woman, time, be, get, help, year, good, need, friend","[u'many', u'sexually_harass', u'many', u'see', u'harassment', u'many', u'come_forward']"
114,2.0,0.1567,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'trust', u'recover', u'third', u'last', u'big', u'factor', u'leave', u'career', u'enjoy', u'live', u'sick', u'society', u'sicken', u'much', u'must', u'harden', u'survive']"
115,2.0,0.1615,"man, woman, time, be, get, help, year, good, need, friend","[u'nothing', u'allow', u'become', u'law', u'ignore', u'judge', u'complicity', u'white', u'male', u'sexual', u'privilege', u'pandemic']"
116,2.0,0.1622,"man, woman, time, be, get, help, year, good, need, friend","[u'rampant', u'child', u'often', u'believe', u'lifelong', u'effect', u'first', u'happen', u'believe', u'set', u'future', u'problem', u'epidemic', u'hush', u'cancer', u'destroy', u'well', u'society']"
117,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend","[u'stop', u'enable', u'violence', u'woman']"
118,2.0,0.1579,"man, woman, time, be, get, help, year, good, need, friend","[u'james_wood', u'name', u'actress_elizabeth', u'perkin', u'rally']"
