,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2928,2928,15.0,0.18150000274181366,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['movie', 'theater', 'boss', 'joke', 'boy', 'coworker', 'would', 'need', 'crowbar', 'want', 'take', 'virginity']"
2929,2929,29.0,0.26100000739097595,"boy, young, sad, happen, age, abuser, learn, anything, man, grope","['thank', 'heaven', 'maybe', 'finally', 'rid', 'hideous', 'bull', 'spy', 'fam', 'year']"
2930,2930,17.0,0.26249998807907104,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['much', 'short', 'life', 'bless', 'sweetum']"
2931,2931,34.0,0.1428000032901764,"response, silence, voice, expose, choose, night, kind, break, scandal, drop","['word', 'band', 'geek', 'already', 'wholly', 'unprepared', 'teenage', 'year', 'survive', 'grateful', 'see', 'come', 'light', 'real', 'change', 'hopefully', 'effect']"
2932,2932,18.0,0.5673999786376953,"share, story, also, harassment, sex, s, want, sadly, attention, senator","['floods_social', 'medium', 'story', 'harassment', 'assault']"
2933,2933,8.0,0.38929998874664307,"pic, far, end, could, step, find, yet, good, like, accuse",['pic']
2934,2934,28.0,0.4767000079154968,"listen, always, may, ever, afraid, roy_moore, reason, include, stranger, sound","['ever', 'tell', 'much', 'always', 'love']"
2935,2935,2.0,0.45649999380111694,"heart, break, reach, heartbreak, open, away, put, decade, wish, nearly","['post', 'know', 'value', 'cause', 'post', 'know', 'toast', 'ever', 'find']"
2936,2936,0.0,0.3237999975681305,"year, old, first, job, really, later, never, boss, walk, time","['walk', 'year', 'later', 'find', 'molest', 'get', 'call', 'support', 'platform', 'defend', 'perversity']"
2937,2937,3.0,0.34209999442100525,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['s', 'sweet', 'bill', 'oreilly', 'report', 'rating', 'stat', 'good', 'sean', 'keep', 'around', 'plug', 'fox', 'cute']"
2938,2938,6.0,0.2793000042438507,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['world', 'beautiful', 'place', 'could', 'lie', 'anymore']"
2939,2939,3.0,0.45649999380111694,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['safety', 'number', 'get', 'thank']"
2940,2940,3.0,0.44440001249313354,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['woman', 'speak', 'woman', 'feel', 'empower', 'tell', 'story']"
2941,2941,30.0,0.24400000274181366,"strong, today, send, instead, personal, flood, lead, sometimes, story, affect","['profoundly', 'stunning', 'conversation']"
2942,2942,21.0,0.15320000052452087,"hard, part, life, school, matter, forget, wear, tag, middle, everything","['fantastisch', 'die', 'studentinnen', 'bleiben', 'allerding', 'konsequent', 'und', 'bedauerlich', 'anonym']"
2943,2943,3.0,0.3515999913215637,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['be', 'amazed', 'disgusted', 'hard', 'people', 'work', 'silence', 'sexual', 'assault', 'victim', 'incompetence']"
2944,2944,3.0,0.4016999900341034,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['never', 'talk', 'try', 'think', 'think', 'feel', 'way', 'never', 'go', 'away']"
